 actionable_items              | id                           | uuid                        | NO
 actionable_items              | feature_id                   | uuid                        | NO
 actionable_items              | title                        | text                        | NO
 actionable_items              | description                  | text                        | NO
 actionable_items              | type                         | text                        | NO
 actionable_items              | status                       | USER-DEFINED                | NO
 actionable_items              | estimated_hours              | integer                     | YES
 actionable_items              | actual_hours                 | integer                     | YES
 actionable_items              | assigned_to                  | uuid                        | YES
 actionable_items              | dependencies                 | jsonb                       | YES
 actionable_items              | acceptance_criteria          | text                        | YES
 actionable_items              | implementation_notes         | text                        | YES
 actionable_items              | created_at                   | timestamp without time zone | YES
 actionable_items              | updated_at                   | timestamp without time zone | YES
 actionable_items              | started_at                   | timestamp without time zone | YES
 actionable_items              | completed_at                 | timestamp without time zone | YES
 bills                         | id                           | uuid                        | NO
 bills                         | building_id                  | uuid                        | NO
 bills                         | bill_number                  | text                        | NO
 bills                         | title                        | text                        | NO
 bills                         | description                  | text                        | YES
 bills                         | category                     | USER-DEFINED                | NO
 bills                         | vendor                       | text                        | YES
 bills                         | payment_type                 | USER-DEFINED                | NO
 bills                         | schedule_payment             | USER-DEFINED                | YES
 bills                         | schedule_custom              | ARRAY                       | YES
 bills                         | costs                        | ARRAY                       | NO
 bills                         | total_amount                 | numeric                     | NO
 bills                         | start_date                   | date                        | NO
 bills                         | end_date                     | date                        | YES
 bills                         | status                       | USER-DEFINED                | NO
 bills                         | document_path                | text                        | YES
 bills                         | document_name                | text                        | YES
 bills                         | is_ai_analyzed               | boolean                     | YES
 bills                         | ai_analysis_data             | jsonb                       | YES
 bills                         | notes                        | text                        | YES
 bills                         | auto_generated               | boolean                     | NO
 bills                         | reference                    | uuid                        | YES
 bills                         | created_by                   | uuid                        | NO
 bills                         | created_at                   | timestamp without time zone | YES
 bills                         | updated_at                   | timestamp without time zone | YES
 bookings                      | id                           | uuid                        | NO
 bookings                      | common_space_id              | uuid                        | NO
 bookings                      | user_id                      | uuid                        | NO
 bookings                      | start_time                   | timestamp with time zone    | NO
 bookings                      | end_time                     | timestamp with time zone    | NO
 bookings                      | status                       | USER-DEFINED                | NO
 bookings                      | created_at                   | timestamp without time zone | YES
 bookings                      | updated_at                   | timestamp without time zone | YES
 budgets                       | id                           | uuid                        | NO
 budgets                       | building_id                  | uuid                        | NO
 budgets                       | year                         | integer                     | NO
 budgets                       | name                         | text                        | NO
 budgets                       | description                  | text                        | YES
 budgets                       | category                     | text                        | NO
 budgets                       | budgeted_amount              | numeric                     | NO
 budgets                       | actual_amount                | numeric                     | YES
 budgets                       | variance                     | numeric                     | YES
 budgets                       | approved_by                  | uuid                        | YES
 budgets                       | approved_date                | date                        | YES
 budgets                       | is_active                    | boolean                     | NO
 budgets                       | created_by                   | uuid                        | NO
 budgets                       | created_at                   | timestamp without time zone | YES
 budgets                       | updated_at                   | timestamp without time zone | YES
 bugs                          | id                           | uuid                        | NO
 bugs                          | created_by                   | uuid                        | NO
 bugs                          | title                        | text                        | NO
 bugs                          | description                  | text                        | NO
 bugs                          | category                     | USER-DEFINED                | NO
 bugs                          | page                         | text                        | NO
 bugs                          | priority                     | USER-DEFINED                | NO
 bugs                          | status                       | USER-DEFINED                | NO
 bugs                          | assigned_to                  | uuid                        | YES
 bugs                          | resolved_at                  | timestamp without time zone | YES
 bugs                          | resolved_by                  | uuid                        | YES
 bugs                          | notes                        | text                        | YES
 bugs                          | reproduction_steps           | text                        | YES
 bugs                          | environment                  | text                        | YES
 bugs                          | created_at                   | timestamp without time zone | YES
 bugs                          | updated_at                   | timestamp without time zone | YES
 buildings                     | id                           | uuid                        | NO
 buildings                     | organization_id              | uuid                        | NO
 buildings                     | name                         | text                        | NO
 buildings                     | address                      | text                        | NO
 buildings                     | city                         | text                        | NO
 buildings                     | province                     | text                        | NO
 buildings                     | postal_code                  | text                        | NO
 buildings                     | building_type                | USER-DEFINED                | NO
 buildings                     | year_built                   | integer                     | YES
 buildings                     | total_units                  | integer                     | NO
 buildings                     | total_floors                 | integer                     | YES
 buildings                     | parking_spaces               | integer                     | YES
 buildings                     | storage_spaces               | integer                     | YES
 buildings                     | amenities                    | jsonb                       | YES
 buildings                     | management_company           | text                        | YES
 buildings                     | bank_account_number          | text                        | YES
 buildings                     | bank_account_notes           | text                        | YES
 buildings                     | bank_account_updated_at      | timestamp without time zone | YES
 buildings                     | bank_account_start_date      | timestamp without time zone | YES
 buildings                     | bank_account_start_amount    | numeric                     | YES
 buildings                     | bank_account_minimums        | text                        | YES
 buildings                     | inflation_settings           | text                        | YES
